Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Id,Designator,Package,Quantity,Designation,Supplier and ref,,
1,"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**",Via_.6m,153,Via_P1.27mm_5x5,,,
2,U6,TM4C129E_Launchpad_X9,1,TM4C129E_Launchpad_X9,,,
3,"U8,U7",MOLEX_SL_3_Vertical,2,Picoblade-3,,,
4,U3,OKI_Horisontal,1,OKI,,,
5,U5,MOLEX_SL_2_Vertical,1,LS_2,,,
6,G***,Atlas_Logo_28.6mmX37.3mm,1,LOGO,,,
7,C4,C_0603_HandSoldering,1,.1u,,,
8,"U1,U2",MultiPowerSO_30,2,VNH5019A-E,,,
9,C1,Anderson_3_Horisontal_Side_by_Side,1,Anderson_3,,,
10,"C7,C8",Anderson_2_Horisontal_Side_by_Side,2,Anderson-2,,,
11,"R1,R2,R3,R4,R5,R6",R_0603_HandSoldering,6,1K,,,
12,SW1,3P1T_Switch,1,3P1T_Fused,,,
13,"C2,C12,C3,C5,C6,C9",C_0603_HandSoldering,6,10u,,,
14,G***,MRDT_Logo_10mm,1,LOGO,,,
15,G***,Andrew_Van_Horn_Sig_15mm,1,LOGO,,,
16,"R7,R8,R9,R10",R_0603_HandSoldering,4,10K,,,
17,U4,MOLEX_SL_2_Vertical,1,LS_1,,,
18,U9,MOLEX_SL_2_Vertical,1,LS_3,,,
19,U10,MOLEX_SL_2_Vertical,1,LS_4,,,
20,G***,Jacob_Lipina_Sig_15mm,1,LOGO,,,
21,D1,D_1206,1,LED,,,
22,R11,R_0603_HandSoldering,1,330,,,
